episode,length,reward,loss
0,80,32.413146823389354,None
1,124,-5.262147251356535,None
2,235,-119.73103427175805,None
3,67,-5.9825880457778995,None
4,17,-6.324987863046621,None
5,484,-200.37433230748877,None
6,69,-53.884148824779835,None
7,98,42.56803659461191,None
8,52,-34.31580792633354,None
9,39,-20.22820073454407,None
10,999,-312.7709469562122,None
11,78,6.025131285507719,None
12,14,-3.702114087298214,None
13,53,-34.73401500958122,None
14,211,-49.056503229181594,None
15,28,-7.405999124096099,None
16,23,-4.943865812417817,None
17,65,-11.65512483543683,None
18,63,-16.93028018036563,None
19,215,-23.75652946548494,None
20,26,11.381186598709794,None
21,98,-24.820343033779118,None
22,91,-21.14399578094385,None
23,69,-34.0529693960017,None
24,61,-42.31329959202093,None
25,170,-86.00757673827621,None
26,135,-56.573161678320076,None
27,36,9.660123748096787,None
28,99,-18.493474995193612,None
29,52,21.311697538531757,None
30,999,-286.4028002434291,None
31,50,3.970752402739927,None
32,179,-22.407274308858913,None
33,51,-32.888027695111596,None
34,13,7.39346446041618,None
35,34,-16.73053693704435,None
36,192,-31.68209779606039,None
37,999,-294.580078763308,None
38,999,-302.2273219497424,None
39,56,-27.52662183307462,None
40,101,-63.88981648713599,None
41,15,1.5525512804087258,None
42,52,-21.895644635069996,None
43,31,0.5909323271857758,None
44,13,7.3953780385555135,None
45,95,-68.10442222157074,None
46,159,-63.22726830015645,None
47,117,-10.077353234886804,None
48,184,-84.935112398826,None
49,25,-20.215210151162324,None
50,999,776.5604001929147,0.3112226724624634
51,999,851.0840426647374,0.3097257614135742
52,999,871.0252106754319,0.19160878658294678
53,999,887.1565952192008,0.17844845354557037
54,158,-48.31105735182207,0.4141571819782257
55,999,10.293645250544463,0.18955981731414795
56,58,-30.60298380110139,0.20854930579662323
57,92,21.389422446054652,0.19675254821777344
58,154,-54.145469702541845,0.1768241673707962
59,328,223.5619476425228,0.6230109333992004
60,999,569.4441861735362,0.5063962936401367
61,999,506.77446453980747,0.4164537787437439
62,999,499.15252354649436,0.2759290933609009
63,999,512.4417644693204,0.22464093565940857
64,999,800.8144425598182,1.0118415355682373
65,999,687.0549975435486,0.7907509207725525
66,999,746.167267605294,0.4834821820259094
67,222,169.49684457197222,0.5308058857917786
68,999,683.3760592544359,0.5961085557937622
69,999,442.2157594443715,1.1517798900604248
