episode,length,reward,loss
0,22,-6.66878355420745,None
1,130,-56.65408175157585,None
2,103,10.400644335627128,None
3,999,-422.25901436304395,None
4,14,-6.2178406325729005,None
5,68,12.659216462867663,None
6,64,-35.50463158868416,None
7,96,-39.81739162218025,None
8,122,-74.15324124667036,None
9,95,-35.01161553591935,None
10,10,-9.108801930919771,None
11,193,-58.59298818330326,None
12,177,-24.88539830825662,None
13,70,6.694084769157136,None
14,183,-30.415489352217463,None
15,105,10.653649882288159,None
16,27,-13.615446061100537,None
17,22,3.858868698969536,None
18,55,-4.448491270141421,None
19,18,-12.563607717845981,None
20,167,-82.61594085238762,None
21,117,-67.2064553057042,None
22,31,7.296691997740876,None
23,109,-35.684491297222365,None
24,257,-137.18722088726443,None
25,129,-104.00520189840574,None
26,15,-14.860091603149176,None
27,196,-128.9606107770889,None
28,147,-96.60555926999021,None
29,112,-34.56273502573117,None
30,15,-4.209277197024747,None
31,53,4.925146394464062,None
32,100,38.69297971355634,None
33,272,-83.57660922269783,None
34,180,-95.87899089628068,None
35,29,-4.3026031719485465,None
36,112,-22.789393877542068,None
37,84,22.528538642594917,None
38,40,6.3618476014515934,None
39,147,-44.19514352909613,None
40,117,-38.0666105210872,None
41,165,-75.05305954881987,None
42,63,-21.176198326213502,None
43,280,-87.76260593926477,None
44,60,-0.05011531597426666,None
45,116,-34.13079852916348,None
46,59,-27.070218388488897,None
47,86,-29.827142601733474,None
48,512,-183.1480176743648,None
49,20,-4.3041345098856585,None
50,999,812.9106591351504,7.129367828369141
51,999,780.511411196999,5.6958327293396
52,999,858.7621901536539,5.179901123046875
53,999,911.7631424585497,4.81622838973999
54,999,-2633.1556990336876,7.319968223571777
55,999,-2761.330776682269,6.62321662902832
56,863,-2375.6955885776315,5.987617492675781
57,999,-2701.9590638072664,6.068148612976074
58,999,-2774.1146044267243,4.804562568664551
59,999,-2728.8260025909285,6.290341377258301
60,999,-2769.0413678377727,4.601385116577148
61,865,-2375.706903160858,4.31240701675415
62,999,-2707.72437430708,5.102604866027832
63,720,-2007.685266787768,4.266561031341553
64,101,-263.74433627242723,4.651238441467285
65,999,-1983.651591442439,4.840465068817139
66,999,-2109.2122481405645,4.159616947174072
67,999,-2161.0346650769534,3.8731188774108887
68,999,-2114.3552882026343,4.18467903137207
69,999,-1726.3243341765794,3.814526319503784
70,999,-1403.7522928861292,3.91087007522583
71,999,-1515.356834458797,4.37432861328125
72,999,-1494.1200712361533,4.130788803100586
73,999,-1429.3621966263784,3.8591418266296387
74,443,-303.89148207413695,4.045866966247559
75,427,-12.259285869771823,7.806853294372559
76,82,-33.20559324612202,8.084601402282715
77,999,-54.91700894815466,6.782144546508789
78,752,-160.3297103539846,6.589622974395752
79,803,127.45811332130492,6.364830017089844
80,120,61.39990548743785,6.254911422729492
81,83,30.25843388783706,5.823566913604736
82,999,335.95885818862894,5.584738254547119
83,966,466.69661683194323,6.083637237548828
84,299,10.527205183294445,6.4222917556762695
85,188,39.814656238824085,5.580625534057617
86,735,-167.21822932229054,5.609349250793457
87,258,15.822718353886739,5.263606071472168
88,999,12.664767506149728,5.307990550994873
89,999,116.72169338133597,5.664051055908203
90,999,-189.18489493081273,5.200439453125
91,999,-100.62562244525459,5.360565185546875
92,999,-223.27303501217656,4.884337902069092
93,999,-271.55300846681246,5.097223281860352
94,21,-3.6339054570348424,4.820544719696045
95,999,186.29859472014058,4.55750846862793
96,999,19.456874417082673,4.980684280395508
97,999,165.13044310297568,4.701469421386719
98,999,147.467440222615,4.768341064453125
99,459,142.77463611659067,5.047301769256592
100,999,208.30168424622175,9.064885139465332
101,999,444.320550822726,7.32894229888916
102,999,311.3693180404131,7.472574234008789
103,999,173.7334045623303,6.376773357391357
104,999,319.895336291302,6.341556549072266
105,999,410.70866738345467,5.81864070892334
106,586,161.746702123256,6.182441711425781
107,411,134.62370514097273,5.987485885620117
108,999,106.30187481193617,5.917428016662598
109,999,124.42007195306468,5.523922920227051
110,999,235.67071217543696,5.320298671722412
111,109,42.25608498882457,5.203577995300293
112,478,203.18498082267638,5.3104448318481445
113,999,169.28671994730607,5.359645843505859
114,999,188.9548025957367,5.593667984008789
115,637,86.66688997901288,4.961164474487305
116,81,18.90884910951594,4.862569808959961
117,999,291.0204812398623,7.880594253540039
118,999,454.7270292258031,7.1501784324646
119,999,370.9140215995902,4.5669989585876465
120,999,94.52418156938246,4.621601104736328
121,999,92.709844841653,4.7668585777282715
122,999,224.15871059649098,4.820852279663086
123,999,80.4638067069471,4.715885162353516
124,999,349.82117046745094,4.373661518096924
125,999,226.65058396943869,6.560307025909424
126,999,176.89593136556599,5.912211894989014
127,348,45.50483629926166,5.572710037231445
128,999,280.32734953605853,5.158840179443359
129,20,2.003417624192196,5.316147804260254
130,207,41.989518001667776,9.779025077819824
131,999,387.8902891549404,4.7793707847595215
132,999,397.0382755538227,4.502262592315674
133,999,377.71898689176794,4.318951606750488
134,999,245.40298428361132,8.283757209777832
135,999,301.66111857080796,4.013782501220703
136,720,175.23396513728042,4.33780574798584
137,999,280.0471713553941,4.048074722290039
138,999,222.71036780171028,3.9198529720306396
139,999,389.73340654560343,3.879075527191162
140,999,235.5435272166578,6.589361667633057
141,999,368.6202880959602,4.64203405380249
142,999,176.78015426500536,3.9920201301574707
143,999,196.25152680805706,3.9844589233398438
144,999,537.328265092024,3.790736436843872
145,999,578.6845961055628,3.8739781379699707
146,999,452.48891736294155,3.8487086296081543
147,999,510.58498941798143,3.830142021179199
148,999,537.6318780162422,3.8024160861968994
149,999,561.8507457822009,3.963460683822632
150,999,480.673811981426,7.612969875335693
151,999,336.2698093441459,6.754027366638184
152,999,454.05467857508637,6.108343601226807
153,999,165.15353851872445,5.6204514503479
154,999,537.1317664401233,4.996835708618164
155,999,479.2999641536516,4.91343879699707
156,494,188.18600961265008,4.903312683105469
157,999,469.723962304122,4.194849967956543
158,999,524.9382315102278,4.32225227355957
159,999,323.8242097455199,4.0300798416137695
160,999,297.091223728341,4.090337753295898
161,999,282.6626683603975,4.018775939941406
162,999,399.84518205635857,3.921778440475464
163,999,293.38320182151693,3.831617593765259
164,999,573.7180090499478,3.750953435897827
165,715,428.4192245087371,3.6599016189575195
166,999,456.0057991387704,3.7035889625549316
167,999,499.9179059935938,3.6605799198150635
168,999,611.8493126054287,3.5775136947631836
169,999,551.6600458383997,3.6251742839813232
170,999,478.9537255067781,5.171285152435303
171,999,538.8359146742475,3.591639518737793
172,999,462.37984551260735,3.6962220668792725
173,607,257.0154167218586,4.455043792724609
174,999,403.41007930476707,3.9413647651672363
175,999,389.9678560912789,7.711181640625
176,882,326.98498960246593,6.847702503204346
177,999,315.60235104344025,6.4098219871521
178,999,363.34494399391036,5.797173023223877
179,999,495.7584501905031,5.620211601257324
180,775,278.3231999847892,5.163416385650635
181,999,503.99920442675494,5.1555867195129395
182,999,404.73834073948404,5.073026657104492
183,999,398.05677222542744,5.230049133300781
184,999,428.17807296039643,4.943028450012207
185,999,457.5229659276377,4.9636359214782715
186,999,465.6738939310922,4.946998119354248
187,999,377.91360083529315,5.028560638427734
188,111,56.730976744851155,4.798498153686523
189,999,401.5473251349225,4.915149688720703
190,999,462.40716099369325,5.052244186401367
191,999,494.3357200019464,4.8302764892578125
192,85,1.5399589478563525,4.884659290313721
193,999,344.1299298047307,4.733368873596191
194,999,391.3181183275628,5.1534600257873535
195,134,29.345418989232016,4.733775615692139
196,233,91.20473468692377,5.014127254486084
197,999,340.305512253869,16.456588745117188
198,999,390.2347822333645,5.205843925476074
199,999,588.8756287972942,5.068188190460205
200,999,303.8499459447288,9.598807334899902
201,999,528.2622970281568,8.600349426269531
202,999,432.1250475562078,8.211081504821777
203,451,40.6967136933312,7.929078102111816
204,999,469.0917865206667,7.071686267852783
205,999,549.3012635424466,6.683465003967285
206,260,79.2282245032469,6.844535827636719
207,999,492.84823804327027,6.28989315032959
208,509,290.57940793527115,6.5692267417907715
209,999,633.1695528241725,6.4235358238220215
210,999,333.569561289331,19.193880081176758
211,999,590.1442153156847,19.102935791015625
212,999,371.751536005009,6.021958827972412
